review_id,product_id,review_title,review_body
1577265,B0017SWAAW,Does not taste like Cheese at all!!!  Not a good alternative.,"I've been a vegan for a really long time.  When I org. purchased this product it was an ok alternative to cheese sauce.  Since, they have changed something and it is no longer the product it once was.  Also, there are a lot more vegan options available now so don't waste your money buy buying bulk.  Try a pack from your local health food store first."
774185,B007GNBPO4,Great list App!,"I have other list apps from this developer and I find them very useful.  For those that have left reviews saying they don't understand why anyone needs an app like this, that's fine and they are entitled to their opinions, but I find electronic lists to be very reliable and helpful. I could use paper and pencil, but then I'd have to recreate the list everytime we were to take a trip. I have previously used an Excel spreadsheet to store my packing lists, but I switched to these type of apps because it is more convenient to carry my tablet around while packing, instead of printing off the excel list.  Since I've started using packing lists in general, I've found that we have reduced the number of times we've had to buy things at our destination because of forgetting some important item. I should also say that I love lists in general, for the sense of accomplishment you get when crossing of an item. This app is customizable, which is very important as well, but is also loaded with premade lists to get you started.If you aren't into lists, don't get this app, and wait patiently until tommorow for a different free app of the day.  Perhaps it will be one you will like, but I won't care for it. That's fine. I don't know why people think that every free app of the day should appeal to them. That's not realistic. Don't be a hater and rate an app low just because it isn't useful to you. Rate it on it's own merits."
3722095,B00702DYSQ,Dogs go wild for them,"The dogs just love them and actually start barking after dinner just to get them.  They love all the flavors.  Having very few teeth, the puppy mill rescue especially loves the softer ones."
359962,B002E9HZXU,It broke,"This is one of the millions of vibrators I have bought in the last few years that has broken on me fairly quickly.  I hate when that happens especially when you are in the middle of about to you know ""be done"" and it stops on ya.  It's like omg! dang! LOL.. so yea..."
1735617,B000MF6U7U,Listen to bad reviews,"I did not by this from amazon but from a local box star, but it is such a POS that I felt compelled to add to the bad reviews.This product will corrode will no longer swivel in less then 2 years.  Additonally the buttons that switch the spray mode fall off.The plastic internal base on mine eventually fatigued from the stress of moving the bound up faucet and cracked.I just put back my 20+ year old delta till I can find a new faucet."
3742216,B0002H335A,Wrong item shipped after ordering NEXT DAY,"I ordered and paid for next day air because I needed it this weekend.  It arrived, but it wasn't what I ordered.  I ordered a pair of jack stands.  I received an engine hoist leveler.I understand mistakes happen.. but it was the way the return has been handled that I have issues with.  UPS dropped it off, but I have to take it to the post office to send it back?  And I wasn't told if they'll wait to ship the right order until they receive this back via the slowest mail service.. so I have no idea when the replacement order will arrive.  A week?  Two weeks?This wasn't my mistake or even a defective product.. this was human error on their part.  They should have told me they'd IMMEDIATELY ship the replacements next day like I ordered.  So far I'm left hanging.  Should I go out locally and get what I need and then end up with an extra set?  Should I hold off a day because they're coming next day?  I don't know.. and that's the point and that's why I gave them one star."
1456283,B003CF4Y7A,"Great idea, but...","This is a great idea. Too bad it doesn't really pan out all that well. I honestly don't know when the PC collector's series was released; Amazon's telling me that it first showed up here in 2010, and IGN is saying that it showed up on the PS2 in late '06. But given that it is here, being sold, and I got my copy new, I am inclined to judge it by 2010 standards.So, on Windows 7, NFS Underground 2 is a nightmare to get running consistently. Most Wanted runs fine, and as another reviewer has already pointed out, Most Wanted and Underground [1] cannot be installed simultaneously. I figured a little technical know-how and browsing the Underground CD for a setup executable manually would work -- no, it doesn't. Even the setup (not autorun) redirects to an Underground launch screen with the option being ""Play"", not ""Install"". I just got Most Wanted up and running in widescreen format (you can use a tool called UniWS set for modifying NFS Underground 2 with a few tweaks, Google it, to get any custom resolution working. It doesn't look too sharp, but it's better than having half your screen real estate wasted with black bars and the aspect ratio works) and I don't want to undo that. So Underground 1 may or may not work very well, but 2 doesn't, and Most Wanted is fine, but the fact that they can't be installed alongside should have been rectified somehow. I realize that would involve patching some stuff, and I imagine that would be a nightmare, but this would be bad enough to discover if you had them from separate sources, but come on, selling them together? Lame.For Underground 2, you can scratch your head 'til your hair falls out and you may get it running, but it's a race against the clock until you're desperately frustrated. What happens is this: it freezes during loading (and by that I mean it just seems to load forever, or I guess possibly longer than 20 minutes). You have to minimize and Task Manager-forcequit it and try again. What makes this most frustrating is that there is no perceivable pattern. None whatsoever. There are things you can do to decrease the likelihood of crashes, and I will list them below, but on Win7, this still gets it down to around a 10% loadscreen-to-crash ratio, and given that every event involves a loadscreen, both beginning and end... yeah. Very frustrating.Should you wish to try on Win7, here is the list of things that I found to each decrease likelihood of load hangups:- Stop using an analog controller (this is a big one, it helped a bunch)- Delete or rename the MOVIES folder inside the NFSU2 install dir- Set SPEED2.exe to run in Compatibility mode for WinXP SP2- Set SPEED2.exe to disable visual themes- Run SPEED2.exe as administrator (there is a toggle for this on the Compatibility tab)- Set SPEED2.exe to only use CPU core 0 (Task Manager > SPEED2.exe > right-click > ""Affinity"" > uncheck all but 'CPU 0'I'm a patient guy. And I freaking love U2. Honestly, this was too much for me.Also, the ""DVD"" tag here is misleading; both Underground 1 and 2 come on two (2) CDs and Most Wanted comes on a DVD. Dumb. Especially considering the packaging; one CD gets put in the DVD box and the other is put in a sleeve behind the instruction manual. Wat. For random further reference, these are the UK editions of the games.I'm inclined to gripe that it doesn't include Carbon, because for all intents and purposes it fits right into this vein of racing game history - heck, it even used the same engine. I bought that separately though.Bottom line? I recommend buying justMost Wanted. It was awesome, and runs fairly well (although I would wish the framerates would stay at 60+ consistently these days, there is a very slight sinewave of framerates that ends up going on on modern cards, see for yourself -- not a big deal but kinda wonky). For the other 2, find 'em for the Xbox or PS2. They play better over there. 2 stars, under the assumption that this was released in 2010. Tsk tsk."
269882,B000P7M26I,It's Scented!,The product I received is vanilla-orange scented! This is not indicated anywhere. I don't have the time for a return so I guess I'm stuck smelling like a creamcicle! Sucks!
3752345,B001DKM3SI,not sturdy,The problem with this wash mop is that the head falls off the handle quite easily. If you try to shake it off to get some rinse water out the whole head pops right off. Obviously this is very annoying. And this problem occurred from day 1 it is not that the thing was abused over time.
3759691,B006R0XYGY,great buy,"Arrived quickly and as described. These work pretty well, and are pretty bright. I tried a 6-led version before this which were alright, but these are brighter. They fit well, but it would be nice if they had the polarity indicated.  Had for several months now and they work great.  They are a little on the blue side, but not as much as some of the other LEDs I've tried."
